isolate,n_genes,ST,Phylogroup
SRR7184327_trimmed,292,11,E
SRR7184328_trimmed,254,11~,E
SRR7184350_trimmed,295,11,E
SRR7184356_trimmed,292,11,E
SRR7184359_trimmed,289,11,E
SRR7184361_trimmed,282,11,E
SRR7184367_trimmed,296,11,E
SRR7184382_trimmed,293,11,E
SRR7184389_trimmed,300,11,E
SRR7184397_trimmed,293,11,E
SRR7184404_trimmed,279,11,E
SRR7186892_trimmed,287,11~,E
SRR7186895_trimmed,284,11,E
SRR7186899_trimmed,205,11~,E
SRR7186913_trimmed,291,11,E
SRR7186915_trimmed,283,11,E
SRR7186923_trimmed,291,11,E
SRR7186927_trimmed,275,11,E
SRR7186929_trimmed,290,11,E
SRR7186937_trimmed,278,11,E
SRR7186939_trimmed,261,11,E
SRR7186941_trimmed,291,11,E
SRR7186943_trimmed,290,11,E
SRR7186946_trimmed,292,11,E
SRR7186948_trimmed,294,11,E
SRR7186950_trimmed,291,11,E
SRR7186952_trimmed,291,11,E
SRR7186954_trimmed,292,11,E
SRR7186956_trimmed,292,11,E
SRR7186958_trimmed,297,11,E
SRR7187002_trimmed,297,11,E
SRR7187004_trimmed,293,11,E
SRR7187005_trimmed,294,11,E
SRR7187051_trimmed,289,11,E
SRR7187058_trimmed,292,11,E
SRR7187069_trimmed,284,11,E
SRR7187765_trimmed,290,11,E
SRR7187768_trimmed,297,11~,E
SRR7187781_trimmed,292,11,E
SRR7187785_trimmed,262,2966,E
SRR7187790_trimmed,293,11,E
SRR7187815_trimmed,292,11,E
SRR7187823_trimmed,266,11,E
SRR7187834_trimmed,287,11,E
SRR7187835_trimmed,281,11,E
SRR7187839_trimmed,294,11,E
SRR7187841_trimmed,285,11,E
SRR7187856_trimmed,293,11,E
SRR7187864_trimmed,290,11,E
SRR7187875_trimmed,279,11~,E
SRR7187886_trimmed,292,11,E
SRR7187888_trimmed,282,11~,E
SRR7187889_trimmed,289,11,E
SRR7187892_trimmed,290,11,E
SRR7187908_trimmed,289,11,E
SRR7187916_trimmed,293,11,E
SRR7191463_trimmed,279,11~,E
SRR7191537_trimmed,292,11,E
SRR7191556_trimmed,285,11,E
SRR7191562_trimmed,293,11,E
SRR7191575_trimmed,287,11,E
SRR7191643_trimmed,293,11,E
SRR7191686_trimmed,282,11,E
SRR7191689_trimmed,299,11,E
SRR7191695_trimmed,286,11,E
SRR7191711_trimmed,294,11,E
SRR7204207_trimmed,289,11,E
SRR7204218_trimmed,264,11~,E
SRR7204247_trimmed,290,11,E
SRR7204298_trimmed,277,11~,E
SRR7204320_trimmed,237,11~,E
SRR7204333_trimmed,224,11~,E
SRR7204337_trimmed,290,11,E
SRR7204345_trimmed,284,11~,E
SRR7204363_trimmed,295,1804,E
SRR7204378_trimmed,288,11,E
SRR7204379_trimmed,278,11,E
SRR7208461_trimmed,273,11~,E
SRR7208625_trimmed,279,11~,E
SRR7208632_trimmed,294,11,E
SRR7208779_trimmed,287,11,E
SRR7208791_trimmed,289,11~,E
SRR7208793_trimmed,293,11,E
SRR7208794_trimmed,287,11~,E
SRR7209052_trimmed,279,11,E
SRR7215277_trimmed,287,11,E
SRR7215278_trimmed,293,11,E
SRR7215280_trimmed,296,11,E
SRR7215295_trimmed,272,11~,E
SRR7215505_trimmed,293,11,E
SRR7215509_trimmed,292,11,E
SRR7215513_trimmed,293,11,E
SRR7215567_trimmed,294,11,E
SRR7215572_trimmed,282,11~,E
SRR7215898_trimmed,290,11,E
SRR7215914_trimmed,294,11,E
SRR7215921_trimmed,288,11~,E
SRR7215923_trimmed,283,11,E
SRR7215927_trimmed,291,11,E
SRR7215928_trimmed,285,11,E
SRR7215939_trimmed,279,11,E
SRR7221035_trimmed,285,11~,E
SRR7221039_trimmed,293,11,E
SRR7221091_trimmed,291,11,E
SRR7221123_trimmed,291,11,E
SRR7221193_trimmed,293,11,E
SRR7221210_trimmed,291,11,E
SRR7221212_trimmed,289,11,E
SRR7221233_trimmed,284,11~,E
SRR7221257_trimmed,278,11~,E
SRR7221271_trimmed,286,11,E
SRR7221278_trimmed,262,11~,E
SRR7221284_trimmed,291,11,E
SRR7221297_trimmed,294,11,E
SRR7221343_trimmed,292,11,E
SRR7223033_trimmed,265,11,E
SRR7223038_trimmed,283,11,E
SRR7223039_trimmed,286,11,E
SRR7223049_trimmed,279,11~,E
SRR7223056_trimmed,260,11~,E
SRR7223062_trimmed,296,11,E
SRR7223072_trimmed,293,11,E
SRR7223088_trimmed,281,11,E
SRR7223095_trimmed,279,11~,E
SRR7223099_trimmed,290,11,E
SRR7223104_trimmed,291,8210,E
SRR7223110_trimmed,276,11,E
SRR7223127_trimmed,282,11,E
SRR7223133_trimmed,293,2966,E
SRR7223135_trimmed,293,11,E
SRR7223137_trimmed,235,11,E
SRR7223139_trimmed,290,11,E
SRR7223161_trimmed,287,11,E
SRR7230164_trimmed,251,11~,E
SRR7230169_trimmed,265,11~,E
SRR7230206_trimmed,281,11,E
SRR7230210_trimmed,287,11,E
SRR7230216_trimmed,281,11,E
SRR7230224_trimmed,283,11,E
SRR7230229_trimmed,286,11,E
SRR7230232_trimmed,291,11,E
SRR7230246_trimmed,289,11,E
SRR7230294_trimmed,283,11,E
SRR7230299_trimmed,292,11,E
SRR7230302_trimmed,295,11,E
SRR7230307_trimmed,287,11,E
SRR7230310_trimmed,281,11,E
SRR7230311_trimmed,281,11,E
SRR7230313_trimmed,275,11~,E
SRR7230320_trimmed,294,11,E
SRR7230321_trimmed,294,11,E
SRR7230322_trimmed,291,11,E
SRR7230329_trimmed,291,1833,E
SRR7230333_trimmed,291,11,E
SRR7230336_trimmed,289,11,E
SRR7230350_trimmed,292,11,E
SRR7230378_trimmed,292,11,E
SRR7230683_trimmed,292,11,E
SRR7236433_trimmed,274,11,E
SRR7236572_trimmed,292,8295,E
SRR7236579_trimmed,241,11,E
SRR7236592_trimmed,286,11,E
SRR7236607_trimmed,294,11,E
SRR7236609_trimmed,262,11,E
SRR7236624_trimmed,287,11,E
SRR7236626_trimmed,277,11,E
SRR7236632_trimmed,285,11,E
SRR7236633_trimmed,294,11,E
SRR7236647_trimmed,292,11,E
SRR7236681_trimmed,288,11,E
SRR7244217_trimmed,286,8301~,E
SRR7244223_trimmed,290,11,E
SRR7244237_trimmed,283,11,E
SRR7244239_trimmed,287,11~,E
SRR7244279_trimmed,293,11,E
SRR7244280_trimmed,293,11,E
SRR7244288_trimmed,293,11,E
SRR7244290_trimmed,291,1833,E
SRR7244293_trimmed,295,11,E
SRR7244294_trimmed,272,11,E
SRR7244295_trimmed,291,11,E
SRR7244310_trimmed,290,11,E
SRR7244359_trimmed,292,11,E
SRR7249500_trimmed,246,11~,E
SRR7249507_trimmed,273,11~,E
SRR7249522_trimmed,290,11,E
SRR7249678_trimmed,295,11,E
SRR7249679_trimmed,287,11,E
SRR7249680_trimmed,289,11,E
SRR7249683_trimmed,292,11,E
SRR7249711_trimmed,289,11,E
SRR7249729_trimmed,274,11~,E
SRR7249752_trimmed,287,11,E
SRR7249753_trimmed,289,11,E
SRR7249774_trimmed,291,11,E
SRR7250960_trimmed,289,11,E
SRR7250961_trimmed,287,11,E
SRR7250965_trimmed,282,11,E
SRR7250977_trimmed,289,11,E
SRR7250999_trimmed,291,11,E
SRR7251000_trimmed,250,11~,E
SRR7251007_trimmed,289,11,E
SRR7251010_trimmed,244,11~,E
SRR7251023_trimmed,297,11,E
SRR7251026_trimmed,286,11,E
SRR7251048_trimmed,293,11,E
SRR7251411_trimmed,269,8301,E
SRR7251416_trimmed,281,11~,E
SRR7251436_trimmed,279,11,E
SRR7251437_trimmed,280,11~,E
SRR7251442_trimmed,291,11,E
SRR7251452_trimmed,290,11,E
SRR7251454_trimmed,270,11~,E
SRR7251455_trimmed,293,11,E
SRR7251463_trimmed,295,11,E
SRR7251474_trimmed,294,11,E
SRR7251480_trimmed,279,11,E
SRR7251488_trimmed,287,11,E
SRR7256949_trimmed,263,11~,E
SRR7256952_trimmed,267,11~,E
SRR7256953_trimmed,296,11,E
SRR7256954_trimmed,290,11,E
SRR7256958_trimmed,286,11,E
SRR7256969_trimmed,297,8310,E
SRR7256970_trimmed,295,11,E
SRR7256983_trimmed,292,11,E
SRR7256992_trimmed,285,11,E
SRR7256993_trimmed,270,11~,E
SRR7256994_trimmed,293,11,E
SRR7256996_trimmed,238,11,E
SRR7257041_trimmed,208,11~,E
SRR7257105_trimmed,287,11,E
SRR7257134_trimmed,291,11,E
SRR7265740_trimmed,302,11,E
SRR7265839_trimmed,253,11~,E
SRR7265843_trimmed,288,11~,E
SRR7265844_trimmed,289,11,E
SRR7265860_trimmed,270,11~,E
SRR7265861_trimmed,289,11,E
SRR7265866_trimmed,292,11,E
SRR7265868_trimmed,292,11,E
SRR7265869_trimmed,281,11,E
SRR7265925_trimmed,286,11,E
SRR7265941_trimmed,280,11,E
SRR7265951_trimmed,291,11,E
SRR7265962_trimmed,242,11~,E
SRR7265974_trimmed,293,2966,E
SRR7265979_trimmed,285,11,E
SRR7266382_trimmed,284,11~,E
SRR7266771_trimmed,282,11,E
SRR7266794_trimmed,296,11,E
SRR7266802_trimmed,292,11,E
SRR7266812_trimmed,291,11,E
SRR7266813_trimmed,293,11,E
SRR7266815_trimmed,289,11,E
SRR7266820_trimmed,291,11,E
SRR7266826_trimmed,292,11,E
SRR7266828_trimmed,292,11,E
SRR7274800_trimmed,298,11,E
SRR7274803_trimmed,292,11,E
SRR7274805_trimmed,291,11,E
SRR7274814_trimmed,291,11,E
SRR7274821_trimmed,291,11,E
SRR7274825_trimmed,295,11,E
SRR7274842_trimmed,293,11,E
SRR7274845_trimmed,292,11,E
SRR7274846_trimmed,288,11,E
SRR7274852_trimmed,293,8295,E
SRR7274854_trimmed,285,11,E
SRR7274859_trimmed,263,11,E
SRR7274863_trimmed,287,11,E
SRR7274961_trimmed,280,11,E
SRR7276910_trimmed,275,11~,E
SRR7276914_trimmed,284,11,E
SRR7276922_trimmed,287,11,E
SRR7276947_trimmed,290,11~,E
SRR7276966_trimmed,281,11,E
SRR7277698_trimmed,292,11,E
SRR7277726_trimmed,292,11,E
SRR7277736_trimmed,283,11,E
SRR7277744_trimmed,222,11~,E
SRR7277749_trimmed,255,11~,E
SRR7277752_trimmed,292,11,E
SRR7277753_trimmed,287,11,E
SRR7277790_trimmed,292,11,E
SRR7277808_trimmed,286,11,E
SRR7277870_trimmed,291,11,E
SRR7277874_trimmed,287,11,E
SRR7278083_trimmed,299,11,E
SRR7282603_trimmed,253,11~,E
SRR7282606_trimmed,293,11,E
SRR7282616_trimmed,292,11,E
SRR7282623_trimmed,289,11,E
SRR7282650_trimmed,286,11,E
SRR7282651_trimmed,271,11,E
SRR7282657_trimmed,286,11,E
SRR7283662_trimmed,294,11,E
SRR7283671_trimmed,278,11,E
SRR7283675_trimmed,267,11,E
SRR7283721_trimmed,295,11,E
SRR7283722_trimmed,290,11,E
SRR7283732_trimmed,288,11,E
SRR7283734_trimmed,287,11,E
SRR7283749_trimmed,254,11,E
SRR7283759_trimmed,293,11,E
SRR7283765_trimmed,297,11,E
SRR7283770_trimmed,294,11,E
SRR7283798_trimmed,277,11,E
SRR7283800_trimmed,279,11,E
SRR7283809_trimmed,295,11,E
SRR7283816_trimmed,285,11,E
SRR7283817_trimmed,295,2966,E
SRR7283821_trimmed,277,11,E
SRR7283822_trimmed,294,11,E
SRR7283828_trimmed,271,11~,E
SRR7285409_trimmed,260,11~,E
SRR7285413_trimmed,260,11~,E
SRR7285424_trimmed,292,11,E
SRR7285437_trimmed,234,11,E
SRR7285439_trimmed,285,11,E
SRR7285443_trimmed,298,11,E
SRR7285444_trimmed,257,11,E
SRR7285445_trimmed,284,11,E
SRR7285451_trimmed,273,11,E
SRR7285452_trimmed,287,11,E
SRR7285456_trimmed,291,11,E
SRR7285469_trimmed,293,11,E
SRR7285471_trimmed,293,11,E
SRR7285477_trimmed,284,11,E
SRR7285478_trimmed,293,11,E
SRR7285482_trimmed,292,11,E
SRR7285496_trimmed,287,11,E
SRR7285497_trimmed,294,11,E
SRR7285498_trimmed,284,11,E
SRR7285499_trimmed,295,8210,E
SRR7285509_trimmed,302,11,E
SRR7285511_trimmed,277,11,E
SRR7285519_trimmed,293,11,E
SRR7285523_trimmed,293,11,E
SRR7285524_trimmed,303,11,E
SRR7285540_trimmed,271,11~,E
SRR7285546_trimmed,292,11,E
SRR7285551_trimmed,275,11,E
SRR7285552_trimmed,291,11,E
SRR7285556_trimmed,292,11,E
SRR7285560_trimmed,291,11,E
SRR7285564_trimmed,290,11,E
SRR7285571_trimmed,294,11,E
SRR7285583_trimmed,287,11,E
SRR7285584_trimmed,298,11,E
SRR7285585_trimmed,205,11~,E
SRR7285591_trimmed,287,11,E
SRR7285609_trimmed,288,11,E
SRR7285612_trimmed,292,11,E
SRR7285703_trimmed,291,11,E
SRR7285752_trimmed,290,11,E
SRR7286173_trimmed,290,11~,E
SRR7286247_trimmed,279,11~,E
SRR7286248_trimmed,290,11,E
SRR7286253_trimmed,288,11,E
SRR7286370_trimmed,295,11,E
SRR7286371_trimmed,290,11,E
SRR7286378_trimmed,294,11,E
SRR7286379_trimmed,290,11,E
SRR7286385_trimmed,287,11,E
SRR7286396_trimmed,297,11,E
SRR7286397_trimmed,291,11,E
SRR7286400_trimmed,293,11,E
SRR7286460_trimmed,295,11,E
SRR7286478_trimmed,289,11,E
SRR7286482_trimmed,293,11,E
SRR7286495_trimmed,295,11,E
SRR7286506_trimmed,293,11,E
SRR7286520_trimmed,295,11,E
SRR7286521_trimmed,292,11,E
SRR7286541_trimmed,295,11,E
SRR7286546_trimmed,293,11,E
SRR7286548_trimmed,295,11,E
SRR7286571_trimmed,290,11,E
SRR7286572_trimmed,281,11,E
SRR7286578_trimmed,293,11,E
SRR7286582_trimmed,268,11,E
SRR7286585_trimmed,294,11,E
SRR7286586_trimmed,291,11,E
SRR7286588_trimmed,288,11,E
SRR7286598_trimmed,286,11,E
SRR7286603_trimmed,290,11,E
SRR7286622_trimmed,295,11,E
SRR7286624_trimmed,292,11,E
SRR7286628_trimmed,294,11,E
SRR7286630_trimmed,290,11,E
SRR7286636_trimmed,287,11,E
SRR7286637_trimmed,290,11,E
SRR7286646_trimmed,294,11,E
SRR7286655_trimmed,292,11~,E
SRR7286696_trimmed,292,11,E
SRR7290921_trimmed,277,11,E
SRR7290922_trimmed,291,11,E
SRR7290928_trimmed,282,11,E
SRR7290971_trimmed,289,11,E
SRR7290974_trimmed,286,11~,E
SRR7290976_trimmed,293,11,E
SRR7290977_trimmed,284,11,E
SRR7290982_trimmed,291,11,E
SRR7290983_trimmed,240,11~,E
SRR7290985_trimmed,292,11,E
SRR7290989_trimmed,292,11,E
SRR7290990_trimmed,280,11,E
SRR7290992_trimmed,292,11,E
SRR7291017_trimmed,292,11,E
SRR7291024_trimmed,277,11,E
SRR7291026_trimmed,292,8328,E
SRR7291031_trimmed,249,11~,E
SRR7291033_trimmed,292,1804,E
SRR7291038_trimmed,276,11,E
SRR7291039_trimmed,240,11,E
SRR7291041_trimmed,282,11,E
SRR7291549_trimmed,269,11~,E
SRR7291578_trimmed,291,11,E
SRR7291579_trimmed,290,11,E
SRR7291581_trimmed,292,11,E
SRR7291584_trimmed,294,11,E
SRR7291587_trimmed,290,11,E
SRR7291588_trimmed,282,11,E
SRR7291592_trimmed,289,11,E
SRR7291613_trimmed,287,11,E
SRR7291614_trimmed,294,11,E
SRR7291617_trimmed,290,11,E
SRR7291623_trimmed,295,11,E
SRR7291626_trimmed,293,11,E
SRR7291635_trimmed,288,11,E
SRR7291636_trimmed,270,11,E
SRR7291643_trimmed,291,11,E
SRR7291653_trimmed,289,11,E
SRR7291656_trimmed,290,11,E
SRR7291670_trimmed,292,11,E
SRR7291673_trimmed,290,11,E
SRR7291839_trimmed,276,11,E
SRR7291915_trimmed,291,11,E
SRR7291921_trimmed,293,11,E
SRR7291939_trimmed,289,11,E
SRR7291952_trimmed,289,11,E
SRR7292644_trimmed,288,11,E
SRR7358008_trimmed,255,11~,E
SRR7358030_trimmed,269,11,E
SRR7358043_trimmed,286,11,E
SRR7358049_trimmed,284,11,E
SRR7358266_trimmed,251,11~,E
SRR7358268_trimmed,292,11,E
SRR7358274_trimmed,277,11~,E
SRR7358275_trimmed,289,11,E
SRR7358276_trimmed,291,11,E
SRR7358277_trimmed,285,11,E
SRR7358278_trimmed,278,11,E
SRR7358287_trimmed,291,11,E
SRR7358288_trimmed,292,11,E
SRR7367202_trimmed,286,11,E
SRR7367213_trimmed,275,11~,E
SRR7367218_trimmed,284,11,E
SRR7367230_trimmed,293,11,E
SRR7367232_trimmed,294,11,E
SRR7367234_trimmed,290,11,E
SRR7367252_trimmed,289,11,E
SRR7367253_trimmed,287,8341,E
SRR7367257_trimmed,286,11,E
SRR7367258_trimmed,255,11~,E
SRR7367360_trimmed,295,11,E
SRR7367365_trimmed,294,11,E
SRR7367379_trimmed,294,11,E
SRR7367380_trimmed,285,11,E
SRR7367381_trimmed,294,11,E
SRR7367391_trimmed,288,11,E
SRR7367397_trimmed,273,11,E
SRR7367401_trimmed,291,11,E
SRR7367407_trimmed,294,11,E
SRR7367408_trimmed,282,11,E
SRR7367414_trimmed,286,11,E
SRR7367419_trimmed,282,11~,E
SRR7367423_trimmed,276,11,E
SRR7367454_trimmed,250,11,E
SRR7367461_trimmed,295,1804,E
SRR7367468_trimmed,293,11,E
SRR7367469_trimmed,291,11,E
SRR7367471_trimmed,292,11,E
SRR7367473_trimmed,291,11,E
SRR7367527_trimmed,284,11,E
SRR7367528_trimmed,276,11,E
SRR7367531_trimmed,268,11,E
SRR7367537_trimmed,292,11,E
SRR7367541_trimmed,304,11,E
SRR7367544_trimmed,294,11~,E
SRR7367547_trimmed,292,11,E
SRR7367549_trimmed,294,11,E
SRR7367553_trimmed,292,11,E
SRR7367577_trimmed,278,11,E
SRR7367584_trimmed,285,11,E
SRR7367589_trimmed,292,11,E
SRR7368855_trimmed,294,11,E
SRR7368879_trimmed,295,11,E
SRR7368890_trimmed,292,11,E
SRR7401610_trimmed,265,11,E
SRR7401617_trimmed,288,11,E
SRR7401620_trimmed,271,11,E
SRR7401624_trimmed,290,11,E
SRR7401630_trimmed,292,11,E
SRR7401632_trimmed,290,11,E
SRR7401634_trimmed,289,11,E
SRR7401635_trimmed,290,11,E
SRR7401637_trimmed,293,1804,E
SRR7401642_trimmed,293,11,E
SRR7401648_trimmed,295,11,E
SRR7401649_trimmed,294,11,E
SRR7401651_trimmed,291,11,E
SRR7401653_trimmed,294,11,E
SRR7401659_trimmed,293,11,E
SRR7401664_trimmed,275,11,E
SRR7401666_trimmed,295,11,E
SRR7401689_trimmed,291,11,E
SRR7401693_trimmed,284,11,E
SRR7401698_trimmed,288,11,E
SRR7401705_trimmed,287,11,E
SRR7401711_trimmed,290,11,E
SRR7401722_trimmed,296,11,E
SRR7407912_trimmed,289,11~,E
SRR7407915_trimmed,286,11,E
SRR7407926_trimmed,292,11,E
SRR7407928_trimmed,286,11~,E
SRR7407935_trimmed,287,11,E
SRR7407937_trimmed,289,11,E
SRR7407939_trimmed,295,11,E
SRR7407945_trimmed,296,11,E
SRR7407946_trimmed,291,11,E
SRR7407947_trimmed,290,11,E
SRR7407961_trimmed,289,11,E
SRR7407963_trimmed,292,11,E
SRR7407964_trimmed,291,11,E
SRR7407966_trimmed,284,11,E
SRR7407982_trimmed,292,11,E
SRR7407984_trimmed,292,11,E
SRR7407986_trimmed,297,11,E
SRR7407987_trimmed,296,11,E
SRR7416051_trimmed,290,11,E
SRR7416058_trimmed,293,11,E
SRR7426120_trimmed,249,8345,E
SRR7426134_trimmed,287,11,E
SRR7439047_trimmed,294,11,E
SRR7439063_trimmed,294,8345,E
SRR7439064_trimmed,285,11,E
SRR7439070_trimmed,296,11,E
SRR7456546_trimmed,278,11,E
SRR7456547_trimmed,274,11~,E
SRR7456548_trimmed,259,11~,E
SRR7456550_trimmed,287,11,E
SRR7456551_trimmed,285,11,E
SRR7456563_trimmed,292,11,E
SRR7456566_trimmed,295,11,E
SRR7456569_trimmed,295,11,E
SRR7474036_trimmed,265,11~,E
SRR7474041_trimmed,292,11,E
SRR7474043_trimmed,292,11,E
SRR7474046_trimmed,294,8345,E
SRR7474048_trimmed,290,11~,E
SRR7474049_trimmed,293,11,E
SRR7474050_trimmed,293,11,E
SRR7474055_trimmed,291,11,E
SRR7474056_trimmed,294,11,E
SRR7474057_trimmed,293,11,E
SRR7474059_trimmed,296,11,E
SRR7474061_trimmed,291,11~,E
SRR7474135_trimmed,294,11,E
SRR7495419_trimmed,292,11,E
SRR7495424_trimmed,291,11,E
SRR7495425_trimmed,281,11,E
SRR7495426_trimmed,297,11,E
SRR7495427_trimmed,294,11,E
SRR7495428_trimmed,295,11,E
SRR7495430_trimmed,291,11,E
SRR7495431_trimmed,292,11,E
SRR7500922_trimmed,296,11,E
SRR7500942_trimmed,289,11,E
SRR7500953_trimmed,289,11,E
SRR7500962_trimmed,240,11,E
SRR7500969_trimmed,292,11,E
SRR7500985_trimmed,284,11,E
SRR7501003_trimmed,286,11,E
SRR7501109_trimmed,295,11,E
SRR7501119_trimmed,294,1804,E
SRR7501136_trimmed,285,11,E
